"Name";"Link";"Price";"Discount Percentage"
"Yoga Basic Letter Graphic Wide Waistband Sports Leggings With Phone Pocket";"https://eur.shein.com/Yoga-Basic-Letter-Graphic-Wide-Waistband-Sports-Leggings-With-Phone-Pocket-p-19528587.html";10.00;0
"Women's Sparkly Open Front Vest Jacket";"https://eur.shein.com/Women-s-Sparkly-Open-Front-Vest-Jacket-p-28905980.html";16.00;0
"SHEIN LUNE Women's Casual Leopard & Heart Pattern Printed Tank Top For Summer";"https://eur.shein.com/SHEIN-LUNE-Women-s-Casual-Leopard-Heart-Pattern-Printed-Tank-Top-For-Summer-p-28416223.html";5.00;0
"SHEIN Privé Eyelet Embroidery Puff Sleeve Mock Neck Tee";"https://eur.shein.com/SHEIN-Priv-Eyelet-Embroidery-Puff-Sleeve-Mock-Neck-Tee-p-13353608.html";3.20;20
"SHEIN EZwear Summer Solid Ruched Halter Top";"https://eur.shein.com/SHEIN-EZwear-Summer-Solid-Ruched-Halter-Top-p-16954776.html";4.00;20
"Seamless Wide Waistband Sports Leggings";"https://eur.shein.com/Seamless-Wide-Waistband-Sports-Leggings-p-21569226.html";6.40;20
"SHEIN Swim Y2GLAM Butterfly & Floral Print Cover Up Dress";"https://eur.shein.com/SHEIN-Swim-Y2GLAM-Butterfly-Floral-Print-Cover-Up-Dress-p-18466386.html";8.00;0
"SHEIN BAE Blazer Dress Party Women Dresses Club Women Outfits Spring Clothes";"https://eur.shein.com/SHEIN-BAE-Blazer-Dress-Party-Women-Dresses-Club-Women-Outfits-Spring-Clothes-p-29697249.html";28.00;0
"SHEIN Coolane Women's Knitted Base Spider Print T-Shirt-Black";"https://eur.shein.com/SHEIN-Coolane-Women-s-Knitted-Base-Spider-Print-T-Shirt-Black-p-26444802.html";3.20;20
"SHEIN LUNE Spring Solid Raglan Sleeve Tee";"https://eur.shein.com/SHEIN-LUNE-Spring-Solid-Raglan-Sleeve-Tee-p-25422665.html";8.00;0
"Women's Lace Patchwork Top & Flower Printed Pants Pajama Set";"https://eur.shein.com/Women-s-Lace-Patchwork-Top-Flower-Printed-Pants-Pajama-Set-p-25372196.html";9.60;40
"SHEIN Coolane Newspaper Print Long Sleeve Short Fit T-Shirt";"https://eur.shein.com/SHEIN-Coolane-Newspaper-Print-Long-Sleeve-Short-Fit-T-Shirt-p-18252264.html";3.20;20
"SHEIN EZwear Square Neck Crop Tee";"https://eur.shein.com/SHEIN-EZwear-Square-Neck-Crop-Tee-p-12706550.html";4.00;20
"SHEIN Mulvari Ladies' Solid Color Lapel Collar Suit Jacket";"https://eur.shein.com/SHEIN-Mulvari-Ladies-Solid-Color-Lapel-Collar-Suit-Jacket-p-29702434.html";19.00;0
"Solid Notched Neck Bishop Sleeve Blouse";"https://eur.shein.com/Solid-Notched-Neck-Bishop-Sleeve-Blouse-p-12185978.html";12.00;0
"SHEIN Yoga Basic Solid Tummy Control Sports Leggings";"https://eur.shein.com/SHEIN-Yoga-Basic-Solid-Tummy-Control-Sports-Leggings-p-19986605.html";8.00;0
"Long Sleeve Floral T-Shirt";"https://eur.shein.com/Long-Sleeve-Floral-T-Shirt-p-28514088.html";6.00;0
"SHEIN Swim Vcay Solid Ruched Halter One Piece Swimsuit";"https://eur.shein.com/SHEIN-Swim-Vcay-Solid-Ruched-Halter-One-Piece-Swimsuit-p-25110435.html";9.00;0
"SHEIN Tall Contrast Mesh Lantern Sleeve Ruched Bodycon Dress";"https://eur.shein.com/SHEIN-Tall-Contrast-Mesh-Lantern-Sleeve-Ruched-Bodycon-Dress-p-11396619.html";8.80;20
"ROMWE Grunge Punk Women's Letter Print Drawstring Jogger Pants";"https://eur.shein.com/ROMWE-Grunge-Punk-Women-s-Letter-Print-Drawstring-Jogger-Pants-p-29921665.html";15.00;0
"Heart Print PJ Set";"https://eur.shein.com/Heart-Print-PJ-Set-p-9752766.html";6.80;15
"SHEIN PETITE Solid Scoop Neck Spring Women Tee";"https://eur.shein.com/SHEIN-PETITE-Solid-Scoop-Neck-Spring-Women-Tee-p-14496736.html";5.00;0
"SHEIN VCAY Dalmatian Print Butterfly Sleeve Blouse";"https://eur.shein.com/SHEIN-VCAY-Dalmatian-Print-Butterfly-Sleeve-Blouse-p-12056762.html";6.00;0
"SHEIN EZwear Casual & Minimalist Solid Color Tight Cropped Halter Top For Women, Summer";"https://eur.shein.com/SHEIN-EZwear-Casual-Minimalist-Solid-Color-Tight-Cropped-Halter-Top-For-Women-Summer-p-29208520.html";2.00;0
"SHEIN Yoga Basic Seamless Wide Waistband Sports Leggings";"https://eur.shein.com/SHEIN-Yoga-Basic-Seamless-Wide-Waistband-Sports-Leggings-p-19219572.html";6.40;20
"Ladies' Solid Color Single-Breasted Jacket";"https://eur.shein.com/Ladies-Solid-Color-Single-Breasted-Jacket-p-29107800.html";20.00;0
"SHEIN VCAY Summer Beach Geo Printed Slit Slim Fit Slip Long Dress";"https://eur.shein.com/SHEIN-VCAY-Summer-Beach-Geo-Printed-Slit-Slim-Fit-Slip-Long-Dress-p-17700092.html";9.60;20
"SHEIN Frenchy Eyelet Embroidery Ruffle Trim Round Neck Lace Trimmed Tee";"https://eur.shein.com/SHEIN-Frenchy-Eyelet-Embroidery-Ruffle-Trim-Round-Neck-Lace-Trimmed-Tee-p-16000587.html";6.00;0
"SHEIN LUNE Solid Batwing Sleeve Button Front Shirt";"https://eur.shein.com/SHEIN-LUNE-Solid-Batwing-Sleeve-Button-Front-Shirt-p-18143963.html";9.60;20
"SHEIN Yoga Basic Seamless Wide Waistband Sports Leggings butt lift";"https://eur.shein.com/SHEIN-Yoga-Basic-Seamless-Wide-Waistband-Sports-Leggings-butt-lift-p-18975683.html";5.60;20
"SHEIN EZwear Overlap Waist Flare Leg Pants";"https://eur.shein.com/SHEIN-EZwear-Overlap-Waist-Flare-Leg-Pants-p-11866540.html";10.00;0
"Ladies' Patchwork Lace Trimmed Camisole Sleep Dress";"https://eur.shein.com/Ladies-Patchwork-Lace-Trimmed-Camisole-Sleep-Dress-p-29153857.html";7.00;0
"Flap Pocket Drawstring Waist Cargo Trousers";"https://eur.shein.com/Flap-Pocket-Drawstring-Waist-Cargo-Trousers-p-12241087.html";12.00;0
"SHEIN Essnce Slogan Graphic Tee";"https://eur.shein.com/SHEIN-Essnce-Slogan-Graphic-Tee-p-17334027.html";4.00;0
"Yoga Basic Half Zipper Thumb Hole Sports Pullover";"https://eur.shein.com/Yoga-Basic-Half-Zipper-Thumb-Hole-Sports-Pullover-p-10606119.html";8.00;0
"EMERY ROSE Women's Patchwork Round Neck Fashionable Casual T-shirt";"https://eur.shein.com/EMERY-ROSE-Women-s-Patchwork-Round-Neck-Fashionable-Casual-T-shirt-p-26271552.html";5.00;0
"SHEIN SXY Backless Lace Up Crop Cami Top";"https://eur.shein.com/SHEIN-SXY-Backless-Lace-Up-Crop-Cami-Top-p-3471475.html";3.20;20
"SHEIN EZwear Dark Grey Woven Sleeveless Suit Set";"https://eur.shein.com/SHEIN-EZwear-Dark-Grey-Woven-Sleeveless-Suit-Set-p-29879740.html";28.00;0
"Yoga Futuristic Women's Solid Color Athletic Shorts";"https://eur.shein.com/Yoga-Futuristic-Women-s-Solid-Color-Athletic-Shorts-p-27967770.html";5.00;0
"Yoga Basic Yoga Leggings Seamless High Stretch Tummy Control Sports Tights";"https://eur.shein.com/Yoga-Basic-Yoga-Leggings-Seamless-High-Stretch-Tummy-Control-Sports-Tights-p-12033444.html";7.20;20
"SHEIN VCAY Solid Eyelet Embroidery Cami Top";"https://eur.shein.com/SHEIN-VCAY-Solid-Eyelet-Embroidery-Cami-Top-p-16228385.html";5.00;0
"Yoga Basic Wide Waistband Sports Shorts";"https://eur.shein.com/Yoga-Basic-Wide-Waistband-Sports-Shorts-p-16691249.html";3.20;20
"Yoga Trendy Seamless Softness Tie Dye Sports Leggings";"https://eur.shein.com/Yoga-Trendy-Seamless-Softness-Tie-Dye-Sports-Leggings-p-10426813.html";8.00;20
"SHEIN Solid Color Maternity Shirred High Waist Dress";"https://eur.shein.com/SHEIN-Solid-Color-Maternity-Shirred-High-Waist-Dress-p-29133484.html";18.00;0
"SHEIN Contrast Binding Button Front Lapel Collar Satin PJ Set";"https://eur.shein.com/SHEIN-Contrast-Binding-Button-Front-Lapel-Collar-Satin-PJ-Set-p-2521612.html";12.80;20
"SHEIN LUNE Dragonfly Print Tee";"https://eur.shein.com/SHEIN-LUNE-Dragonfly-Print-Tee-p-18400882.html";6.00;0
"SHEIN VCAY Surplice Front Floral Print Belted Dress";"https://eur.shein.com/SHEIN-VCAY-Surplice-Front-Floral-Print-Belted-Dress-p-2635130.html";16.00;0
"Colorblock Phone Pocket Side Wideband Waist Sports Leggings";"https://eur.shein.com/Colorblock-Phone-Pocket-Side-Wideband-Waist-Sports-Leggings-p-19331531.html";6.40;20
"DAZY Solid Rib-knit Crop Tank Top";"https://eur.shein.com/DAZY-Solid-Rib-knit-Crop-Tank-Top-p-13273492.html";5.00;0
